EntrezID,Symbol,Length,logFC,AveExpr,t,P.Value,adj.P.Val,B
327799,Usp44,3957,1.30139421730257,-1.55171371473465,3.77299211467459,0.00245993440337383,0.124856522859046,-1.48412320639836
100503311,Pifo,1127,3.3191069539301,-1.74287715980031,3.77200788816877,0.00246445921456617,0.124856522859046,-1.82186062106852
70804,Pgrmc2,3007,-0.68537451313231,3.61097319441028,-3.77194549528485,0.00246474634179861,0.124856522859046,-1.82441830869088
338371,Endov,5277,0.626412878866985,2.1604760889493,3.76953422406968,0.002475869074488,0.124856522859046,-1.72331174462549
68075,Lurap1,1427,1.08009247626793,1.81838826002949,3.7694676209848,0.00247617702922586,0.124856522859046,-1.54492074679569
215707,Ccdc92,2256,-1.28182313872069,1.08296214345059,-3.76942266988097,0.00247638489317021,0.124856522859046,-1.55933205347838
22761,Zfpm1,3386,-1.87036943057739,3.57109779408251,-3.76320226348109,0.00250532221079467,0.125840639317397,-1.80111491819782
211007,Trim41,3470,0.554542553699475,3.77890635967818,3.75600457787353,0.00253923768882999,0.127066497230178,-1.9131520810449
227937,Pkp4,4614,-0.778784219093307,0.548730399979273,-3.75173741685958,0.00255956579748691,0.127227978407449,-1.73106302576399
328110,Prpf39,4068,0.851335014730497,4.61001807981574,3.75133125679265,0.00256150933250534,0.127227978407449,-1.95847570304912
66625,Pnisr,4545,1.13079872220399,5.27408183759453,3.74712143800769,0.00258174299060072,0.127390410845582,-1.98838278298443
100504586,Gm20300,3440,0.807072286214714,2.49150590473349,3.74609445475903,0.00258670372002515,0.127390410845582,-1.73505940703563
19094,Mapk11,2444,0.745639724679737,4.73591606769306,3.74357047420621,0.00259893696197476,0.127390410845582,-1.91215430329176
56706,Ccnl1,2145,0.909034772662182,6.13722298637279,3.74275179882572,0.00260291760802663,0.127390410845582,-1.99821981812726
22214,Ube2h,4780,-0.831865979594564,4.72258057775292,-3.73953654436835,0.00261861152265216,0.127690761146553,-1.995750317636
67457,Frmd8,3166,-0.59285127648054,4.09046614930535,-3.73317755379263,0.0026499355904173,0.128270412262719,-1.94263842361541
53609,Clasrp,2154,0.754398448689958,4.58907958475319,3.73084120406614,0.00266154026954812,0.128270412262719,-1.95705456957745
68490,Zfp579,2159,1.9105325526048,1.52410500705812,3.72818936347467,0.00267477491976452,0.128270412262719,-1.46131535269992
